"","baseline_vector","target_vector","optimized_vector"
"p1",20,23,19
"p2",65.0267466367859,121,85.1925867637592
"p3b",0.844233043723875,0.894819466248038,0.761829256996499
"p5b",0.121064852826338,0.133437990580848,0.10924479263116
"p6b",0.723168190897539,0.76138147566719,0.65258446436534
"p7",0.837686678944451,0.929,0.775464481476479
"p8",0.879936209893316,0.405,0.687895291017434
